dir1,dir2,name,updated,path
"Monolake","Hong Kong","01 Cyan.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","02 Index.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","03 Lantau.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","04 Macau.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","05 Arte.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","06 Occam.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Hong Kong","07 Mass Transit Railway.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Hong Kong"
"Monolake","Cinemascope","01 [Atmo].m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","02 Bicom.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","03 Cubicle.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","04 Ping.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","05 Ionized.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","06 Remoteable.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","07 Television Tower.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","08 Cut.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","09 Alpenrausch.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Cinemascope","10 Indigo.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Cinemascope"
"Monolake","Gravity","01 Mobile.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","02 Ice.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","03 Frost.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","04 Static.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","05 Zero Gravity.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","06 Fragile.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","07 Aviation.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"Monolake","Gravity","08 Nucleus.m4a","2009/08/02","Z:\iTunes\iTunes Music\Monolake\Gravity"
"スピッツ","RECYCLE Greatest Hits of SPITZ","01 君が思い出になる前に.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
"スピッツ","RECYCLE Greatest Hits of SPITZ","02 空も飛べるはず.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
"スピッツ","RECYCLE Greatest Hits of SPITZ","03 青い車.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
"スピッツ","RECYCLE Greatest Hits of SPITZ","04 スパイダー.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
"スピッツ","RECYCLE Greatest Hits of SPITZ","05 ロビンソン.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
"スピッツ","RECYCLE Greatest Hits of SPITZ","06 涙がキラリ☆.m4a","2009/06/17","Z:\iTunes\iTunes Music\スピッツ\RECYCLE Greatest Hits of SPITZ"
